ref_num	SAMPLE	VENT	COORDINATES	SITE	Sample_or_Control	SAMPLEID	DEPTH	SAMPLETYPE	Julies Notes	YEAR	TEMP (C)	pH	PercSeawater	Mg mmol/kg or mM	H2 µM or µmol/L	H2S (mmol/L) or mM	CH4 (µmol/kg)	ProkConc	Sample_actual	Type
1	Axial_BSW1500m_BSW1500m_2015	Deep seawater	46.27389 N 129.79548 W	Axial	Sample	BSW1500m	1520	Background		2015	2	7.8	100	52.4	0.002	0	0.002	2.50E+04		
2	Axial_AnemonePlume_AnemonePlume_2015	Anemone Plume	45.9335667 N 130.013667 W	Axial	Sample	AnemonePlume		Plume		2015						0				
3	Axial_Anemone_FS891_2013	Anemone	45.9332 N 130.0137 W	Axial	Sample	FS891	1542	Vent		2013	28.2	5.5	88.9	46.5	13.9	1.0604496	14.8	4.10E+05		
4	Axial_Boca_FS905_2013	Boca	45.927692 N 129.982482 W	Axial	Sample	FS905		Vent	J2 cruise	2013	6.8					0				
5	Axial_Dependable_FS900_2013	Dependable	45.87992 N 129.80294 W	Axial	Sample	FS900		Vent	J2 cruise	2013	53.2					0				
6	Axial_ElGuapo_FS896_2013	El Guapo	45.926575 N 129.979479 W	Axial	Sample	FS896		Vent	J2 cruise	2013	26.1					0				
7	Axial_Marker113_FS903_2013	Marker113	45.9227 N 129.9882 W	Axial	Sample	FS903	1520	Vent		2013	24.5	6.2	96	50.2	1.4	0.7462044	16.9	4.60E+05		
8	Axial_Marker113_FS906_2014	Marker113	45.9227 N 129.9882 W	Axial	Sample	FS906	1518	Vent		2014	24.3	5.8	96.4	48.8	1	0.5691216	38	6.80E+05		
9	Axial_Marker113_FS915_2015	Marker113	45.9227 N 129.9882 W	Axial	Sample	FS915	1520	Vent		2015	25.4	6.6	95.8	50.2	0.3	0.59184552	22.3	1.50E+06		
10	Axial_Marker33_FS904_2013	Marker33	45.9332 N 129.9822 W	Axial	Sample	FS904	1516	Vent		2013	27.3	5.5	87.7	45.9	1.5	0.557862	19	4.20E+05		
11	Axial_Marker33_FS908_2014	Marker33	45.9332 N 129.9822 W	Axial	Sample	FS908	1514	Vent		2014	18.5	5.6	91.9	48.1	1.5	0.2676714	6.4	3.90E+05		
12	Axial_N3Area_FS898_2013	N3Area	45.943716 N 129.985163 W	Axial	Sample	FS898		Vent	J2 cruise	2013	20.1					0				
13	Axial_Skadi_FS902_2013	Skadi	45.923383 N 129.982853 W	Axial	Sample	FS902		Vent	ROPOS cruise	2013	36					0				
14	Axial_Skadi_FS910_2014	Skadi	45.923383 N 129.982853 W	Axial	Sample	FS910		Vent	J2 cruise	2014						0				
15	51_AGAGAA_S13	labblank		control	Control			Control		2020									51_CTRL_control_blank_labblank_0_0_Jun2021	blank
16	64_CTRL_control_blank_shipboard_0_0_Jun2021	shipboard		control	Control			Control		2020										blank
17	75_CACCCT_S15	shipboard		control	Control			Control		2020									75_CTRL_control_Control_shipboard_0_0_Jun2021	Control
18	GordaRidge_BSW020_sterivex_2019_REPa	Deep seawater	42.7495125 N 126.710294 W	GordaRidge	Sample	BSW020	2010	Background		2019	1.8	7.8	100	51.8	-	-		3.91E+04		
19	GordaRidge_BSW056_sterivex_2019_REPb	Deep seawater	42.76060928 N 126.7047891 W	GordaRidge	Sample	BSW056	2010	Background		2019	1.8	7.8	100	51.8	-	-		3.91E+04		
20	GordaRidge_BSW081_sterivex_2019	Shallow seawater	42.7546 N 126.743 W	GordaRidge	Sample	BSW081	150	Background		2019	8.6		100	51.8	-	-				
21	GordaRidge_Plume001_sterivex_2019_REPa	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001	2745	Background		2019	1.7	7.8	100	51.8	-	-		51959.11		
22	GordaRidge_Plume001_sterivex_2019_REPb	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001	2745	Background		2019	1.7	7.8	100	51.8	-	-		51959.11		
23	GordaRidge_Plume001_T0_2019_REP12	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001_T0	2745	Incubation		2019										
24	GordaRidge_Plume001_T0_2019_REP34	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001_T0	2745	Incubation		2019										
25	GordaRidge_Plume001_T24_2019_REP12	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001_T24	2745	Incubation		2019										
26	GordaRidge_Plume001_T36_2019_REP12	Near vent BW	42.75500527 N 126.709891 W	GordaRidge	Sample	Plume001_T36	2745	Incubation		2019										
27	GordaRidge_Vent013_T0_2019_REP13	Mt Edwards	42.754692 N 126.7090115 W	GordaRidge	Sample	Vent013_T0	2707	Incubation		2019										
28	GordaRidge_Vent013_T36_2019_REP12	Mt Edwards	42.754692 N 126.7090115 W	GordaRidge	Sample	Vent013_T36	2707	Incubation		2019										
29	GordaRidge_Vent013_T36_2019_REP34	Mt Edwards	42.754692 N 126.7090115 W	GordaRidge	Sample	Vent013_T36	2707	Incubation		2019										
30	GordaRidge_Vent043_T0_2019_REP13	Venti Latte	42.7548145 N 126.7088945 W	GordaRidge	Sample	Vent043_T0	2708	Incubation		2019										
31	GordaRidge_Vent043_T36_2019_REP13	Venti Latte	42.7548145 N 126.7088945 W	GordaRidge	Sample	Vent043_T36	2708	Incubation		2019										
32	GordaRidge_Vent090_T24_2019	Candelabra	42.75506794 N 126.709613 W	GordaRidge	Sample	Vent090_T24	2730	Incubation		2019										
33	GordaRidge_Vent110_T24_2019	Sir Ventsalot	42.76131802 N 126.7054541 W	GordaRidge	Sample	Vent110_T24	2732	Incubation		2019										
34	GordaRidge_Plume036_sterivex_2019_REPb	Candelabra Plume	42.7551105 N 126.709442 W	GordaRidge	Sample	Plume036	2725	Plume		2019	1.7				-	-		7.69E+04		
35	GordaRidge_Plume096_sterivex_2019	Mt Edwards Plume	42.75465646 N 126.7091669 W	GordaRidge	Sample	Plume096	2707	Plume		2019	1.8				-	-				
36	GordaRidge_Vent009_SUPRS1_2019	Mt Edwards	42.75464576 N 126.7090451 W	GordaRidge	Sample	Vent009	2707	Vent		2019	40	6	83	42.6	127	1.01	9.8671356	51439.52		
37	GordaRidge_Vent010_SUPRS2_2019	Mt Edwards	42.754692 N 126.7090115 W	GordaRidge	Sample	Vent010	2707	Vent		2019	40	6	83	42.6	127	1.01	9.8671356	51439.52		
38	GordaRidge_Vent011_SUPRS3_2019	Mt Edwards	42.754692 N 126.7090115 W	GordaRidge	Sample	Vent011	2707	Vent		2019	40	6	83	42.6	127	1.01	9.8671356	51439.52		
39	GordaRidge_Vent039_SUPRS1_2019	Venti Latte	42.7548145 N 126.7088945 W	GordaRidge	Sample	Vent039	2708	Vent		2019	11	6.4	97	50.9	bd	nd	0.879249707	111192.5		
40	GordaRidge_Vent040_SUPRS2_2019	Venti Latte	42.754858 N 126.708922 W	GordaRidge	Sample	Vent040	2708	Vent		2019	11	6.4	97	50.9	bd	nd	0.879249707	111192.5		
41	GordaRidge_Vent041_SUPRS3_2019	Venti Latte	42.754858 N 126.708922 W	GordaRidge	Sample	Vent041	2708	Vent		2019	11	6.4	97	50.9	bd	nd	0.879249707	111192.5		
42	GordaRidge_Vent086_SUPRS1_2019	Candelabra	42.75506794 N 126.709613 W	GordaRidge	Sample	Vent086	2730	Vent		2019	79	5.5	88	35.7	21.9	nd	23.15357562	55076.66		
43	GordaRidge_Vent087_SUPRS2_2019	Candelabra	42.75503414 N 126.7094585 W	GordaRidge	Sample	Vent087	2730	Vent		2019	79	5.5	88	35.7	21.9	nd	23.15357562	55076.66		
44	GordaRidge_Vent088_SUPRS3_2019	Candelabra	42.75503414 N 126.7094585 W	GordaRidge	Sample	Vent088	2730	Vent		2019	79	5.5	88	35.7	21.9	nd	23.15357562	55076.66		
45	GordaRidge_Vent105_SUPRS9_2019	Sir Ventsalot	42.761202 N 126.7054775 W	GordaRidge	Sample	Vent105	2732	Vent		2019	72		98	50.8	-	-	-	52998.29		
46	GordaRidge_Vent106_SUPRS10_2019	Sir Ventsalot	42.76131802 N 126.7054541 W	GordaRidge	Sample	Vent106	2732	Vent		2019	72		98	50.8	-	-	-	52998.29		
47	GordaRidge_Vent107_SUPRS11_2019	Sir Ventsalot	42.76131802 N 126.7054541 W	GordaRidge	Sample	Vent107	2732	Vent		2019	72		98	50.8	-	-	-	52998.29		
48	Axial_ExtractControl_CTRL_2019	Control	not applicable	Laboratory	Control	Control	Control	Control		2019										
49	GordaRidge_Shipblank_CTRL_2019_S31	Control	not applicable	Laboratory	Control	Control	Control	Control		2019										
50	GordaRidge_Shipblank_CTRL_2019_S32	Control	not applicable	Laboratory	Control	Control	Control	Control		2019										
51	GordaRidge_Shipblank_CTRL_2019_S33	Control	not applicable	Laboratory	Control	Control	Control	Control		2019										
52	62_TAACAC_S14	Quakeplume	Piccard	Sample			Background		2020									62_MCR_Piccard_CTD_Quakeplume_CTD005_5_Jun2021	CTD	
53	73_MCR_Piccard_CTD_BSW_CTD005_0_Jun2021	BSW	18.547980, -81.718180	Piccard	Sample		4776	Background		2020	4.46	-	100	52.5	-	-		11860.187		CTD
54	52_MCR_Piccard_expTf_LotsOShrimp_A_0_Jun2021	LotsOShrimp	Piccard	Sample			Incubation		2020										expTf	
55	53_MCR_Piccard_expTf_LotsOShrimp_B_0_Jun2021	LotsOShrimp	Piccard	Sample			Incubation		2020										expTf	
56	56_MCR_Piccard_expTf_Plume_0_5_Jun2021	Plume		Piccard	Sample			Incubation		2020										expTf
57	57_MCR_Piccard_expTf_Shrimpocalypse_0_0_Jun2021	Shrimpocalypse	Piccard	Sample			Incubation		2020										expTf	
58	74_MCR_Piccard_CTD_Plume_CTD004_5_Jun2021	Plume	18.546767, -81.718200	Piccard	Sample		4944	Plume		2020	4.46	-	-	-	-	-		51429.13		CTD
59	68_MCR_Piccard_HOG_LotsOShrimp_J21242HOG14_0_Jun2021	LotsOShrimp	18.546789, -81.718356	Piccard	Sample		4967	Vent		2020	19	6.32	97.185	51.05	11350	-	11.4	53878.136		HOG
60	77_MCR_Piccard_HOG_Shrimpocalypse_J21240HOG14_0_Jun2021	Shrimpocalypse	18.546674, -81.717806	Piccard	Sample		4945	Vent		2020	85	5.9675	81.6	42.87	0	-	21.4	238585.68		HOG
61	78_MCR_Piccard_HOG_LotsOShrimp_J21241HOG14_0_Jun2021	LotsOShrimp	18.546789, -81.718356	Piccard	Sample		4967	Vent		2020	36	5.92	97.185	51.05	11350	-	11.4	53878.136		HOG
62	100_GR_substrate_MC3_Quartz2_6_0_Jun2021	Quartz2		substrate	Sample			Microcolonizer		2019					0					MC3
63	101_GR_substrate_MC3_Riftia_6_0_Jun2021	Riftia		substrate	Sample			Microcolonizer		2019					0					MC3
64	102_GR_substrate_MC3_Shell_6_5_Jun2021	Shell		substrate	Sample			Microcolonizer		2019					0					MC3
65	81_AAAGTT_S16	Quartz2		substrate	Control			Microcolonizer		2019					0				81_CTRL_substrate_blank_Quartz2_na_0_Jun2021	blank
66	82_CGTGCA_S17	Riftia		substrate	Control			Microcolonizer		2019					0				82_CTRL_substrate_blank_Riftia_na_0_Jun2021	blank
67	83_CCGAAC_S18	Shell		substrate	Control			Microcolonizer		2019					0				83_CTRL_substrate_blank_Shell_na_0_Jun2021	blank
