SAMPLE	VENT	COORDINATES	SITE	SAMPLEID	DEPTH	SAMPLETYPE	YEAR	TEMP	pH	PercSeawater	Mg	H2	H2S	CH4	ProkConc	LONG	LAT
Axial_BSW1500m_BSW1500m_2015	Deep seawater	46.27389 N 129.79548 W	Axial	BSW1500m	1520	Background	2015	2	7.8	100	53.6	0.002	0	0.0020472	25000	-129.7955	46.2739
Axial_AnemonePlume_AnemonePlume_2015	Anemone Plume	45.9335667 N 130.013667 W	Axial	AnemonePlume	1500	Plume	2015	NA	NA	NA	0	NA	0	0	NA	-130.0137	45.9336
Axial_Anemone_FS891_2013	Anemone	45.9332 N 130.0137 W	Axial	FS891	1542	Vent	2013	28.2	5.5	88.9	47.6	13.9	1.0604496	15.14928	410000	-130.0137	45.9332
Axial_Boca_FS905_2013	Boca	45.927692 N 129.982482 W	Axial	FS905	1516.9	Vent	2013	6.8	6.88	98.2	53	2.76372	0.007664609	1.63776	850000	-129.9825	45.9277
Axial_Dependable_FS900_2013	Dependable	45.87992 N 129.80294 W	Axial	FS900	1912.8	Vent	2013	50	6.19	89.8	48.4	0.299029516	0.015756438	21.2791063	170000	-129.8029	45.8799
Axial_ElGuapo_FS896_2013	El Guapo	45.926575 N 129.979479 W	Axial	FS896	1502	Vent	2013	25.7	5.42	92.3	49.8	0.299253443	0.218077087	2.874380735	168000	-129.9795	45.9266
Axial_Marker113_FS903_2013	Marker113	45.9227 N 129.9882 W	Axial	FS903	1520.3	Vent	2013	24.8	6.17	96	51.5	1.4	0.7462044	17.29884	460000	-129.9882	45.9227
Axial_Marker113_FS906_2014	Marker113	45.9227 N 129.9882 W	Axial	FS906	1518	Vent	2014	24.3	5.8	96.4	50	1	0.5691216	38.8968	680000	-129.9882	45.9227
Axial_Marker113_FS915_2015	Marker113	45.9227 N 129.9882 W	Axial	FS915	1520	Vent	2015	25.4	6.6	95.8	51.4	0.3	0.59184552	22.82628	1500000	-129.9882	45.9227
Axial_Marker33_FS904_2013	Marker33	45.9332 N 129.9822 W	Axial	FS904	1516	Vent	2013	27.3	5.5	87.1	47	1.5	0.557862	19.4484	420000	-129.9822	45.9332
Axial_Marker33_FS908_2014	Marker33	45.9332 N 129.9822 W	Axial	FS908	1514	Vent	2014	18.5	5.6	91.3	49.2	1.5	0.2676714	6.55104	390000	-129.9822	45.9332
Axial_N3Area_FS898_2013	N3Area	45.943716 N 129.985163 W	Axial	FS898	1523	Vent	2013	18.9	4.96	98.3	53	0.053401914	0.512918204	65.52147903	257000	-129.9852	45.9437
Axial_Skadi_FS902_2013	Skadi	45.923383 N 129.982853 W	Axial	FS902	1561.6	Vent	2013	35.6	6.23	90.4	48.7	1.0236	0.086783554	4.488486	565000	-129.9829	45.9234
Axial_Skadi_FS910_2014	Escargot	45.9264 N, 129.9791 W	Axial	FS910	1517	Vent	2014	6.6	5.84	97.4	52.6	0.046971335	0.035242393	2.119196826	NA	-129.9791	45.9264
GordaRidge_BSW020_sterivex_2019_REPa	Deep seawater	42.7495125 N 126.710294 W	GordaRidge	BSW020	2010	Background	2019	1.8	7.8	100	53	NA	NA	NA	39100	-126.7103	42.7495
GordaRidge_BSW056_sterivex_2019_REPb	Deep seawater	42.76060928 N 126.7047891 W	GordaRidge	BSW056	2010	Background	2019	1.8	7.8	100	53	NA	NA	NA	39100	-126.7103	42.7495
GordaRidge_BSW081_sterivex_2019	Shallow seawater	42.7546 N 126.743 W	GordaRidge	BSW081	150	Background	2019	8.6	NA	100	53	NA	NA	NA	NA	-126.743	42.7546
